"date","deviceCategory","channelGrouping","Sessions","GoalCompletions","DeviceClass","DesktopDummy","MobileDummy","TabletDummy","ChannelClass","OtherDummy","DirectDummy","DisplayDummy","OrganicSearchDummy","PaidSearchDummy","ReferralDummy","SocialDummy","EmailDummy","BreakTimeClass","BreakTimeDummy1","BreakTimeDummy2","BreakTimeDummy3"
2016-01-11,"tablet","Direct",425,8,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-11,"desktop","Display",4038,21,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-11,"mobile","Display",7917,8,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-11,"tablet","Display",1700,8,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-11,"desktop","Organic Search",8847,152,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-11,"mobile","Organic Search",6802,51,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-11,"tablet","Organic Search",1116,25,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-11,"desktop","Paid Search",1435,25,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-11,"mobile","Paid Search",1674,4,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-11,"tablet","Paid Search",690,17,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-11,"desktop","Referral",1674,0,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-11,"mobile","Referral",823,4,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-11,"tablet","Referral",318,4,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-11,"desktop","Social",425,4,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-11,"mobile","Social",4198,34,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-11,"tablet","Social",292,4,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-12,"desktop","(Other)",159,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-12,"mobile","(Other)",80,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-12,"desktop","Direct",1063,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
